enterprise,job,salary,jd_keywords
埃森哲,咨询分析（）-日语/韩语/粤语,150-200/天,"Index(['项目', '管理', '数据分析', '支持', '工具', '韩语', '运用', '团队', '实习', '项目管理', '日语',
       '粤语', '书面', '加班', '必须'],
      dtype='object')"
正道科技,数据分析,120-200/天,"Index(['行业', '运营', '竞争对手', '搜集', '撰写', '活动', '主动性', '专业', '经验', '分析', '投递',
       '相关', '3.7', '体系', '抗压'],
      dtype='object')"
 致辰文化 ,机器学习项目实习,250-400/天,"Index(['学习', '经验', '优先', '熟悉', '机器', '项目', '模型', '基础', '留学', '数据', '相关',
       '统计分析', '细致', '扎实', '计算机科学'],
      dtype='object')"
久谦咨询,数据分析 北京/上海,300-500/天,"Index(['平台', '算法', '数据', '团队', '前端', '开发', '相关', '技术', '麦肯锡', '华为', '经验', '以及',
       '迭代', '具备', '应用'],
      dtype='object')"
京东数科,数据分析实习,120-150/天,"Index(['数据', '分析', '数据分析', '产品', '金融', '电商', '专业', '熟练', '进行', '清洗', '具有',
       '外部', '经历', '使用', '建模'],
      dtype='object')"
康明斯," 实习(分析,数据库建立）",120-150/天,"Index(['支持', '客户', '计划', '文件', '写作', '口语', '建立', '较强', '产品', '材料', '整合', '认真',
       '精通', '分析', '简介'],
      dtype='object')"
龙云科技,数据分析实习,150-200/天,"Index(['数据', '相关', '游戏', '产品', '优先', '数据分析', '方向', '支持', '运营', '需求', '针对',
       '业务', '理解', '后台', '任职'],
      dtype='object')"
久谦咨询,数据分析实习,150-300/天,"Index(['良好', '相关', '分析', '解决问题', '数字', 'ownership', '实际', '经历', '较强', '阅读',
       'Python', '优先', '专业', '注重', '熟练掌握'],
      dtype='object')"
尼尔森,汽车组数据分析实习,50-100/天,"Index(['市场', '同学', '实习生', '可以', '学习', '报告', '优先', '处理', '作为', '数据', '研究',
       '实习期', '尼尔森', '分析', '项目'],
      dtype='object')"
易点租,数据分析,150-180/天,"Index(['实习', '员工', '促销', '价格', '活动', '维护', '数据', '00', '技能', '分析', '具备', '解决',
       '开门', '细心', '相关'],
      dtype='object')"
博彦科技,日语数据分析实习,200-250/天,"Index(['日文', '优先', '态度', '环境', '沟通', '全日制', '日语', '熟练', '整合', '录入', '专业', '经验',
       '使用', '采集', '相关'],
      dtype='object')"
惟德,图形数据融合处理 - 数据分析,200-400/天,"Index(['开发', '数据分析', '设计', '负责', '算法', '项目', '工程师', '需求', '计算机', '详细', '成长',
       '相关', '环境', '技术', '技术难题'],
      dtype='object')"
久谦咨询,数据分析实习,150-300/天,"Index(['数据', '实习', '内部', '分析', 'Python', '技能', '及时', '基础', '良好', '相关', '产品',
       '沉得', '数学', '需求', '支持'],
      dtype='object')"
惟德,健康大数据助理,200-400/天,"Index(['专业', '技能', '良好', '优先', '信息', '岗位', '三类', '具备', '生物', 'APP', '成长', '同时',
       'Photoshop', 'MongoDB', '善于'],
      dtype='object')"
微毕数据,数据分析实习,150-200/天,"Index(['数据', '使用', '可视化', '环境', '合作', '精神', '团队', 'Tableau', '岗位', '专业', '资格',
       '分析', 'Job', '相关', '优先'],
      dtype='object')"
Mylan,寒假/春季实习 （数据分析方向）,150-150/天,"Index(['实习', '完成', '数据', 'Excel', '技能', '交待', '外企', '尤其', '分析', '相关', '优先',
       '感受', '每月', '认真负责', 'Office'],
      dtype='object')"
快手,数据分析实习,200-250/天,"Index(['业务', '优先', '熟悉', '数据', '指标', '产品', '任职', 'Python', '决策', '直播', '做事',
       '相关', '视频', '支撑', '对全'],
      dtype='object')"
瑞尼尔,数据分析实习,150-200/天,"Index(['数据', '分析', '工具', '完成', '构建', '管理', '金融', '统计', '报告', '经济', '数据库', '制作',
       '配合', '了解', '建模'],
      dtype='object')"
瑞尼尔,大数据分析与应用岗,150-200/天,"Index(['数据', '分析', '工具', '完成', '构建', '管理', '金融', '统计', '报告', '经济', '数据库', '制作',
       '配合', '了解', '建模'],
      dtype='object')"
App Annie,   (),200-250/天,"Index(['to', 'and', 'the', 'App', 'in', 'Annie', 'you', 'mobile', 'is', 'What',
       'of', 'be', 'language', 'app', 'industry'],
      dtype='object')"
易观,数据分析实习,100-150/天,"Index(['使用', '客户', '数据', '数据分析', '报告', '实习', '分析', '分析师', '负责', '相关', '优先',
       '遇到', '统计学', '专业', '985'],
      dtype='object')"
元気森林（燃茶）,实习（数据分析方向）,100-150/天,"Index(['完成', '软件', '办公', '一种', '沟通', '专业', '企业', 'C++', '报表', 'Python', '熟练',
       '使用', '开发', '经营', '熟练掌握'],
      dtype='object')"
元気森林（燃茶）,数据分析实习,100-150/天,"Index(['完成', '软件', '办公', '一种', '沟通', '专业', '企业', 'C++', '报表', 'Python', '熟练',
       '使用', '开发', '经营', '熟练掌握'],
      dtype='object')"
奔驰汽车金融,务实习,120-150/天,"Index(['整理', '团队', '财务', '数据', '控制', '认真负责', '项目', 'PowerPoint', '蛋糕', '需求',
       '支持', '聚餐', '度高', '同学', '对于'],
      dtype='object')"
敦煌网,数据运营实习,100-150/天,"Index(['用户', '数据', '订单', '提高', '沟通', '处理', '进行', '流程', '解决', '初步', '执行力', '岗位',
       '体验', '熟练', '给出'],
      dtype='object')"
法伯宏业,数据分析实习,100-150/天,"Index(['笔试', '简历', '关于', '投递', '我们', '面试', '招聘', '形式', '通知', '同学', '实习', '录用',
       '信息', '线下', '2020'],
      dtype='object')"
同程艺龙,数据分析实习,200-250/天,"Index(['分析', '数据', '具有', '相关', '风险', '使用', '进行', '输出', '优先', '异常', '较强', '报告',
       '问题', '熟悉', '业务'],
      dtype='object')"
惟德,", 构建数据库",150-300/天,"Index(['熟悉', '良好', '成长', '协作', '实例', '文字', '浓厚', '宽广', '下载方式', '准备', '形式',
       '整合', '责任感', '爬虫', '善于'],
      dtype='object')"
惟德,物组学数据分析（医/病/病历/药）,200-400/天,"Index(['信息', '数据分析', '成长', '良好', '项目', '收入', '生物', '宽广', '包括', '实例', '业务',
       '浓厚', '准备', '整合', '协作'],
      dtype='object')"
惟德,大数据实习,150-300/天,"Index(['专业', '具备', '良好', '信息', '三类', '技能', '优先', '生物', '成长', 'APP', '岗位', '同时',
       'Photoshop', 'MongoDB', '善于'],
      dtype='object')"
京东数科,产品管理岗（数据分析与建模实习）,120-150/天,"Index(['建模', '信用风险', '具有', '建立', '特征', '熟练', '数据分析', '模型', '用户', '金融', '分析',
       '全日制', '经验', '资格', '专业'],
      dtype='object')"
铸保,数据分析,400-500/天,"Index(['数据', '清洗', '具有', '优先', '脚本', '数据挖掘', '提高', '经历', '经验', '资格', '分类',
       '规则', '自然语言', '根据', '程序'],
      dtype='object')"
联想,用户数据分析助理,100-150/天,"Index(['拍摄', '小视频', '策划', '交互', '分项', '学习', '用户', '执行力', '文字', '功底', '市场推广',
       '热爱', '分析', '一定', '基本'],
      dtype='object')"
泰豪智能,数据分析（应届户口）,200-300/天,"Index(['研究生', '硕士', '实习', '统招', '数据分析', '具有', '解决', '企业', '专业', '经验', '跟着',
       '模型', '或者', '软件系统', '自动化'],
      dtype='object')"
 艺恩世纪 ,文娱数据分析（实习）,100-150/天,"Index(['娱乐', '研究', '完成', '电影', '研二', '大四', '新闻', '相关', '视频', '热爱', '分析', '稿件',
       '输出', '大三', '撰写'],
      dtype='object')"
准雀Accunique,数据分析,400-500/天,"Index(['数据分析', '数据', '佣金', '模型', '赚取', '擅长', '空余', 'Python', '我们', '一定', '熟练',
       '准雀', '分析师', '进行', '各个'],
      dtype='object')"
准雀Accunique,数据分析,400-500/天,"Index(['数据分析', '数据', '佣金', '熟练', '赚取', '擅长', '空余', '一定', '使用', '我们', '方法',
       '模型', '相关', '准雀', '进行'],
      dtype='object')"
易起跑,数据分析实习,80-100/天,"Index(['实习', '了解', '应用', 'sql', '熟练', '掌握', '环境', '大牛', '数据分析', 'mysql', '优先',
       '相关', '指导', '毕业', '优秀'],
      dtype='object')"
海智鑫教育,络推数据分析,100-200/天,"Index(['SEO', 'SEM', 'DSP', '方案', '推广', '制定', '优化', '数据', '分析', '熟悉', '协调',
       '相关', '网络', '各种', '形成'],
      dtype='object')"
00DATA,数据分析,120-200/天,"Index(['数据', '业务', '统计分析', '深入', '方向', '好学', '一定', '金融', '发展', '解释', '熟练',
       '行业', '软件', '积极', '专业'],
      dtype='object')"
字节跳动,数据分析实习,120-150/天,"Index(['数据', '业务', '数据分析', '搭建', '策略', '提供', '分析', '运营', '基础', '良好', '数据库',
       '进行', '需求', '统计分析', '工具'],
      dtype='object')"
字节跳动,数据分析实习,120-150/天,"Index(['数据', '数据分析', '业务', '策略', '提供', '分析', '搭建', '良好', '熟悉', '基础', '基本原理',
       '运营', '需求', '承担', '入职'],
      dtype='object')"
网易,大数据开发与数据分析实习,180-250/天,"Index(['开发', '熟悉', '数据', 'sql', '熟练掌握', '监控', '以后', 'hive', 'python', '以下',
       '毕业生', '语言', '进行', '精通', '分布式计算'],
      dtype='object')"
京东,销售管理——数据分析助理（实习）,100-120/天,"Index(['数据', 'semi', '实习', '分析', '熟悉', '基本', '低于', '具备', '通过', '销售', '专业性',
       '提取', '接送', '输出', '四天'],
      dtype='object')"
京东数科,数据分析实习,150-200/天,"Index(['数据', '优先', '开发', '20', '业务', '配置', 'sql', '报表', '任职', '资格', '专业', '毕业',
       '项目', '编写', '参与'],
      dtype='object')"
京东数科,数据分析实习,150-200/天,"Index(['数据', '数据分析', '熟悉', '产品', '进行', '运营', '问题', '帮助', '互联网', '过程', '任职',
       '经验', '意识', '执行', '优秀'],
      dtype='object')"
北京风软,衍品金融风险数据分析与模型算法优化研究,120-150/天,"Index(['优化', '计算', '研究', '风险', '期权', '波动', '算法', '衍生品', '组合', '模式', '市场',
       '蒙特卡洛', '投资', '指数', '实时'],
      dtype='object')"
SenseTime商汤科技,数据分析实习,200-400/天,"Index(['数据', '分析', '业务', '优先', 'Python', '优秀者', '思维', 'hive', '我们', '撰写', '模型',
       '相关', '福利待遇', '科学', '报告'],
      dtype='object')"
敦煌网,风控实习,120-200/天,"Index(['处理', '数据分析', '部门', '金融学', '软件', '相关', '优先', '产品', '提出', '意见', '报表',
       '11', '形成', '任务', '之前'],
      dtype='object')"
滴滴出行,数据分析实习-  .,200-300/天,"Index(['业务', '数据', '问题', '核心', '回答', '分析', '数据分析', '决策', '当前', '重要', '滴滴',
       '学习', '敏感', '实习', '逻辑'],
      dtype='object')"
恒润科技,大数据分析实习,120-240/天,"Index(['具有', '数据分析', '负责', '底层', '设计', '语言', '开发', 'C++', '汽车', '资格', '写入',
       '数据挖掘', '文件', '搭建', '模型'],
      dtype='object')"
新浪,数据分析实习,100-150/天,"Index(['使用', '相关', '熟练', '数据', '数据分析', '业务', '设计', '参与', '埋点', '体系', '统计学',
       '集群', '做事', '信管', '分析'],
      dtype='object')"
搜狗,搜狗运营-数据分析实习,120-200/天,"Index(['业务', '数据分析', '具备', '优化', '通过', '用户', '使用', '熟练', '策略', '哥哥', '熟悉',
       '制定', '我们', '召回', '敏感'],
      dtype='object')"
惟德,智能诊断 手术和呈现,400-800/天,"Index(['收入', '成长', '良好', '项目', '呈现', 'AR', '知识', '执行', '精神', '思维', '善于', '按照',
       '整合', '协作', '具备'],
      dtype='object')"
拜耳,业务数据分析—实习,120-150/天,"Index(['良好', '学习', '市场准入', '团队', 'Excel', '熟悉', '在读', '意愿', '项目', '相关', '深入',
       '合作', '最短', '职责', '文化'],
      dtype='object')"
亚马逊中国,亚马逊海外购选品经理实习,120-180/天,"Index(['选品', '亚马逊', '经理', '海外', '从事', '数据分析', '中国', '电子商务', '相关', '业务', '有志于',
       '一个', '互联网', '实习生', '跨境'],
      dtype='object')"
易起跑,数据分析实习,80-100/天,"Index(['实习', '了解', '应用', 'sql', '熟练', '掌握', '环境', '大牛', '数据分析', 'mysql', '优先',
       '相关', '指导', '毕业', '优秀'],
      dtype='object')"
中航材有限,航材数据分析岗位实习,100-100/天,"Index(['航空', '中国', '实习', '航材', '有限责任', '保障', '器材', '行业', '数据', '项目', '软件',
       '完成', '解决方案', '优先', '信息'],
      dtype='object')"
德昂公司,数据分析实习,150-200/天,"Index(['设计', 'BI', 'ETL', '报表', '优先', '主流', '熟悉', '开发', 'SQL', '需求', '调研',
       '相关', '提供', '任职', '长期'],
      dtype='object')"
东方国信,秋-数据分析挖掘,120-150/天,"Index(['\r\n', '模型', '分析', '具有', '网络工程', '一种', 'oracle', '思维', '清晰', '高等院校',
       '自动化', '进行', '构建', '任职', '使用'],
      dtype='object')"
滴滴出行,数据科学-用户增长数据分析实习,200-250/天,"Index(['用户', '分析', '不同', '业务', '场景', '数据', '方法', '用车', '增长', '同学', '针对', '运营',
       '问题', '推进', '健身'],
      dtype='object')"
北京东方国信科技股份有限公司,校-数据分析挖掘,120-150/天,"Index(['\r\n', '模型', '分析', '具有', '网络工程', '一种', 'oracle', '思维', '清晰', '高等院校',
       '自动化', '进行', '构建', '任职', '使用'],
      dtype='object')"
00DATA,数据分析,100-200/天,"Index(['报告', '整理', '相关', '专业', '互联网', '数据', '清洗', '以及', '对应', '合作', '语言表达',
       '进行', '提供', '基础知识', '计算机'],
      dtype='object')"
爱奇艺,员-数据分析 实习,150-180/天,"Index(['风控', '业务', '通过', '方案', '敏感', '优化', '相关', '数据分析', '面试', '策略', '数据',
       '活动', '分析', '爱奇艺', '安排'],
      dtype='object')"
繁星数据,医学数据分析,150-200/天,"Index(['标注', '数据', '优化', '结果', '进行', '方法', '优先', '工具', '质量', '发现', '积极思考',
       '关键问题', '行业', '按期', '需求'],
      dtype='object')"
Vipkid,数据分析,150-300/天,"Index(['数据', '业务', '数据分析', '指导', '学习', '理解', '快速', '简历', '相关', '产品', '敏感性',
       '饥渴', '分析', '模型', '请发'],
      dtype='object')"
用友集团,数据分析实习,100-150/天,"Index(['通过', '业务', '分析', '提升', '找出', '增长', '熟悉', 'python', '赋能', '发展', '揭示',
       '专业', '指导', '尽快', '机器'],
      dtype='object')"
先进数通,及数据分析,100-150/天,"Index(['主动', '优先', '项目', '熟悉', '完成', '考虑', '学习', '边界', '经验', '范围', '清晰化', '知识',
       '细化', '负责', '规格'],
      dtype='object')"
京东数科,数据分析实习,150-200/天,"Index(['用户', '产品', '分析', '对于', '模型', '支持', '学习', '包括', '数据', '限于', '优化', '统计',
       '基础', '行为', '运营'],
      dtype='object')"
滴滴出行,数据分析实习,250-300/天,"Index(['数据', '相关', '学习', '互联网', '优先', '数据分析', '经验', '商业', '表示', '机器', '清洗',
       '进行', '研发', '数据挖掘', 'SQL'],
      dtype='object')"
熊猫科技,数据分析实习,150-200/天,"Index(['完成', '数据', '部门', '实习', '其它', '熟练掌握', '交予', '语言', 'SQL', '统计学', '用户',
       '全日制', '不少', '优先', '必要'],
      dtype='object')"
光宇游戏,数据分析专员,100-150/天,"Index(['数据', '分析', '用户', '游戏', '优化', '报表', '进行', '指标', '专项', '定期', '运营', '项目',
       '根据', '协作', '数据分析'],
      dtype='object')"
星联互动,数据分析实习-北京,100-150/天,"Index(['相关', '进行', '总结', '数据', '统计学', '搜集', '归纳', '熟练', '现有', '文字', '学生', '使用',
       '专业', '维护', '在校'],
      dtype='object')"
网易,数据分析实习,100-150/天,"Index(['业务', '提供', '数据分析', '优先', '业务部门', '掌握', '相关', '数据', '建议', '报告', '热情',
       '分析', '压力', '客户端', '协作'],
      dtype='object')"
华能信托,机器学习数据分析岗,300-400/天,"Index(['学习', '机器', '实习', '金融', '相关', '行业', '书籍', '可视化', '华能', '科技', '数据分析',
       '进行', '数据', '西直门', '深入'],
      dtype='object')"
京东,数据分析实习（数据共享平台部-数据运营部）,150-200/天,"Index(['数据', '产品', '业务', '学习', '良好', '需求', '解决方案', '统一', '管理', '资产', '场景',
       '应用', '思维', '通过', '零售'],
      dtype='object')"
京东,运营数据分析岗（商结算体验提升部-北京）,100-150/天,"Index(['生命周期', '商家', '相关', '数据分析', '环节', '参与', '数据', '支持', '薪资', '需求', '学校',
       '退保', '协作', '责任感', '在读'],
      dtype='object')"
京东,数据分析（用户增长产品部）,150-200/天,"Index(['数据', '业务', '分析', '数据分析', '优先', '支持', '医药', '问题', '运营', '产品线', '发现',
       '产品', '毕业生', 'SQL', '解决问题'],
      dtype='object')"
京东,数据分析岗（体验服务数据部）,150-200/天,"Index(['数据', '使用', '熟练', '相关', '报表', '良好', '数据分析', '需求', '业务', '提取', '梳理',
       '支持', 'SQL', '团队精神', '计算机'],
      dtype='object')"
京东,数据分析,120-200/天,"Index(['数据', '需求', '经验', '业务部门', '沟通', '统计', 'SQL', '部门', '数据库', '进行', '相关',
       '逻辑性', '提取', '归纳', '反应'],
      dtype='object')"
AdMaster精硕科技,数据分析（）,100-150/天,"Index(['社会化', '媒体', '研究', '撰写', '整理', '团队', '参与', '分析师', '运营', '\r\n', '经常',
       '报告', '项目', '行业资讯', '使用'],
      dtype='object')"
京东数科,数据分析实习,150-200/天,"Index(['运营', '用户', '策略', '提供', '使用', '专业', '精细化', '支付', '支持', '营销', '对于', '统计',
       '包括', '量化', '资格'],
      dtype='object')"
京东数科,数据分析实习,150-200/天,"Index(['数据', '业务', '了解', '使用', '行业', '清晰', '数据库', '接入', '熟练', '原因', '相关',
       'SQL', '流量', '效率', '分析'],
      dtype='object')"
京东数科,数据分析实习,150-200/天,"Index(['用户', '产品', '分析', '对于', '模型', '支持', '学习', '包括', '数据', '限于', '优化', '统计',
       '基础', '行为', '运营'],
      dtype='object')"
滴滴出行,数据分析实习,200-250/天,"Index(['数据', '数据分析', '理解', '业务', '熟练', '使用', '制作', '建立', '互联网', '模型', '指导',
       '细致', '数字', '相关', '敏感'],
      dtype='object')"
美团点评,数据分析实习,150-200/天,"Index(['业务', '数据', '分析', '配合', '完成', '用户', '数据分析', '供应链', '实习', '商品', '四天',
       '常规', '长期', '驱动', '使用'],
      dtype='object')"
感易智能,金融数据标注/分析实习,150-250/天,"Index(['金融', '评估', '数据', '参与', '相关', '实习', '良好', '团队', '优先', '领域', '文本', '零食',
       '和校验', '福利', '工商'],
      dtype='object')"
京东数科,数据分析实习-,120-150/天,"Index(['优先', '经济学', 'bloomberg3', '熟练掌握', '情绪', '细心', '财报', '金融', '分项', 'SQL',
       '模型', '财务', '了解', 'TMT', '全勤'],
      dtype='object')"
京东数科,数据分析实习,150-200/天,"Index(['需求', '相关', '业务', '沟通', '实习', '优先', '软件', '确认', '执行力', '工具', 'Word',
       '办公', '考虑', '在校生', '资格'],
      dtype='object')"
京东数科,数据分析实习,150-200/天,"Index(['数据分析', '负责', '行为', '用户', '分析', '一种', '行业', '客户', '掌握', '通过', '支持',
       '产品', '数据', '报告', '业务'],
      dtype='object')"
京东数科,用户增长数据分析实习,150-200/天,"Index(['数据', '数据分析', '熟悉', '产品', '进行', '运营', '问题', '帮助', '互联网', '过程', '任职',
       '经验', '意识', '执行', '优秀'],
      dtype='object')"
京东数科,数据分析实习,150-200/天,"Index(['需求', '相关', '业务', '沟通', '实习', '优先', '软件', '确认', '执行力', '工具', 'Word',
       '办公', '考虑', '在校生', '资格'],
      dtype='object')"
京东数科,数据分析实习,150-200/天,"Index(['业务', '数据', '农业', '分析', '经验', '优先', '智慧', '联网', '相关', '基于', '数学', '思考',
       '进行', '建模', '思维'],
      dtype='object')"
京东数科,数据分析实习,120-150/天,"Index(['数据', '实习', '内控', '分析', '期间', '优先', '监测', '相关', '数据分析', '具备', '指标',
       '考虑', '资格', '预警', '互联网'],
      dtype='object')"
毒舌电影,数据分析实习,100-150/天,"Index(['数据', '影视', '分析', '优先', '进行', '行业', '产品', '勇于', '相关', '业务', '感强', '建立',
       '协作', '特点', '三个'],
      dtype='object')"
京东数科,数据分析实习,150-200/天,"Index(['用户', '产品', '分析', '对于', '模型', '支持', '学习', '包括', '数据', '限于', '优化', '统计',
       '基础', '行为', '运营'],
      dtype='object')"
FICO,数据分析实习 ,150-200/天,"Index(['and', 'business', 'analysis', 'in', 'SAS', 'the', 'etc', 'to', '主要',
       'SQL', 'for', 'data', 'designing', 'Undergraduate', '撰写'],
      dtype='object')"
京东数科,数据分析实习,120-150/天,"Index(['数据', '分析', '数据分析', '产品', '金融', '电商', '专业', '熟练', '进行', '清洗', '具有',
       '外部', '经历', '使用', '建模'],
      dtype='object')"
亚马逊中国,数据分析实习-供应链方向(亚太区),100-150/天,"Index(['semi', 'and', 'to', 'world', 'by', 'is', 'for', 'the', 'Analyst',
       'internship', 'with', 'in', 'Business', 'wide', 'Qualifications'],
      dtype='object')"
 厚德慧盈 ,数据分析（实习）,100-200/天,"Index(['期间', '专业', '实习', '踏实', '聘用', '00', '优异', '30', '阳光', '积极', '17', '工资',
       '200', '主要', '可以'],
      dtype='object')"
首创证券,固定收益量化交易数据分析大数据平台研发,100-150/天,"Index(['开发', '项目', '经验', '优先', '实习', '需求', '平台', '数据库', '相关', '业务', '设计', '任职',
       '转化', '固定', '总部'],
      dtype='object')"
凯捷咨询,届 实习大数据分析顾问,130-150/天,"Index(['凯捷', '专业', '提供', '优先', '相关', '包括', '理工', '中国', '业务', '开发', '解决方案',
       '学习', '年轻人', '人员', '全球'],
      dtype='object')"
久其软件,数据分析,120-150/天,"Index(['数据分析', '数据', '挖掘', '经验', '模型', '报告', '根据', '经验丰富', '优先', '落地', '计算机科学',
       '相关', '搭建', '建模', '分析'],
      dtype='object')"
滴滴出行,产品运营实习-数据分析方向,150-200/天,"Index(['场景', '分析', '数据', '数据分析', '规则', '实习', '对接', 'sop', '推动', '业务', 'Python',
       '稳定', '相关', '驱动', '科技'],
      dtype='object')"
易观,数据分析实习,100-150/天,"Index(['使用', '客户', '数据', '数据分析', '报告', '实习', '分析', '分析师', '负责', '相关', '优先',
       '遇到', '统计学', '专业', '985'],
      dtype='object')"
猎聘网,数据分析实习,200-250/天,"Index(['优先', '参与', '数据', '学习', '完成', '熟练', 'SQL', '使用', '熟悉', '相关', '销售', '部门',
       '产品', '沟通', '市场'],
      dtype='object')"
腾讯PCG,数据分析实习,100-150/天,"Index(['相关', '数据分析', '业务', '实习', '数据', '专业', '优先', '用户', '经验', '行为', 'SPSS',
       '欢迎', 'SQL', '渠道', 'Python'],
      dtype='object')"
国际SOS,数据分析实习,0-144/天,"Index(['使用', '进行', 'Excel', 'PPT', '文件', '整理', '信息', '资格', '踏实', '英语', '输入',
       '报告', '认真', '良好', '扫描'],
      dtype='object')"
搜狐畅游,数据分析实习,150-200/天,"Index(['分析', '数据', '实习', '良好', '用户', '数据分析', '结果', '相关', '游戏', '统计', '撰写',
       '优先', '产品', '报销', '意见'],
      dtype='object')"
快手,数据分析实习,200-300/天,"Index(['战略', '业务', '运营', '分析', '互联网', '落地', '推动', '快速', '制定', '相关', '策略', '定位',
       'SQL', '建议', '规划'],
      dtype='object')"
耐飞科技,数据分析,100-120/天,"Index(['数据', '报告', '负责', '影视', '专业', '分析', '掌握', '行业', '监控', '周报', '影视作品',
       '日报', '经验', '输出', '相关'],
      dtype='object')"
新东方在线,数据分析 (校),面议,"Index(['业务', '优先', '数据', '科学', '善于', '模型', '相关', '技术', '各种', '数学', '数据分析',
       '专业', '创新力', '专业知识', '扎实'],
      dtype='object')"
Opera 欧普拉,数据分析-,150-200/天,"Index(['数据', '分析', '业务', '策略', '具备', '数据分析', '数据处理', '支持', '逻辑', '热爱', '细致',
       '相关', '数学', 'BI', '响应'],
      dtype='object')"
瓜子二手车直卖网,数据分析实习,220-280/天,"Index(['相关', '良好', '数据', '熟练', '熟悉', '园区', '创新', '898', '优先', '下车', '使用', '空间',
       '主动性', '一种', '承受'],
      dtype='object')"
北京交控,机器学习与数据分析实习,120-150/天,"Index(['参与', '部分', '算法', '机器', '轨道交通', '经验', '学习', 'Python', '掌握', '展会', '研发',
       '原型', '故障', '基本', '系统'],
      dtype='object')"
诺和诺德,数据分析实习,150-200/天,"Index(['数据', '流程', 'Excel', '所管', '沟通', '完成', '具有', '跟进', '相关', '良好', '培训',
       'PPT', '较强', '问题', '办公'],
      dtype='object')"
途家网,数据分析(),350-500/天,"Index(['数据', '分析', '具有', '业务', '数据分析', '模型', '需求', '项目', '进行', '数据挖掘', '熟悉',
       '报告', '决策', '软件', '相关'],
      dtype='object')"
